Mobile_names,Prices,Description,Ratings,image_link
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","? 10,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 5MP + 2MP | 8MP Front Camera6000 mAh Lithium Ion BatteryExynos 850 Processor1 Year Warranty Provided By the Manufacturer from Date of Purchase,4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/i/v/-original-imagfhu6bdzhnmkz.jpeg?q=70
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","? 10,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 5MP + 2MP | 8MP Front Camera6000 mAh Lithium Ion BatteryExynos 850 Processor1 Year Warranty Provided By the Manufacturer from Date of Purchase,4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/8/4/-original-imagfhu75eupxyft.jpeg?q=70
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","? 10,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 5MP + 2MP | 8MP Front Camera6000 mAh Lithium Ion BatteryExynos 850 Processor1 Year Warranty Provided By the Manufacturer from Date of Purchase,4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/x/x/s/-original-imagfhu6dcpdnqkh.jpeg?q=70
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","? 11,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 5MP + 2MP | 8MP Front Camera6000 mAh Lithium Ion BatteryExynos 850 Processor1 Year Warranty Provided By the Manufacturer from Date of Purchase,4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/8/4/-original-imagfhu75eupxyft.jpeg?q=70
"REDMI 10 (Midnight Black, 64 GB)","? 9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh Lithium Polymer BatteryQualcomm Snapdragon 680 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/q/j/-original-imagk4nzwhudqhcz.jpeg?q=70
"POCO C50 (Royal Blue, 32 GB)","? 6,499","2 GB RAM | 32 GB ROM | Expandable Upto 512 GB16.56 cm (6.52 inch) HD+ Display8MP Dual Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryMediatek Helio A22 Processor, Upto 2.0 GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
"realme C11 2021 (Cool Grey, 32 GB)","? 5,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryOcta-core Processor1 Year Warranty for Mobile and 6 Months for Accessories,4.4,https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/s/b/8/c11-2021-rmx3231-realme-original-imag4j4xkqchhfxk.jpeg?q=70
"REDMI 10 (Pacific Blue, 64 GB)","? 9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh Lithium Polymer BatteryQualcomm Snapdragon 680 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/q/e/-original-imagk4nz6xgtexam.jpeg?q=70
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)","? 11,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 5MP + 2MP | 8MP Front Camera6000 mAh Lithium Ion BatteryExynos 850 Processor1 Year Warranty Provided By the Manufacturer from Date of Purchase,4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/i/v/-original-imagfhu6bdzhnmkz.jpeg?q=70
"Infinix HOT 30i (Glacier Blue, 128 GB)","? 9,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 5MP Front Camera5000 mAh BatteryG37 Processor1 Year on Handset and 6 Months on Accessories,4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/w/v/b/-original-imagz3cuzzsyh8ud.jpeg?q=70
"realme C33 2023 (Sandy Gold, 64 GB)","? 9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 0.3MP | 5MP Front Camera5000 mAh Lithium Ion BatteryUnisoc T612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/w/o/s/-original-imaghuf9mryjhf3m.jpeg?q=70
"vivo T2x 5G (Aurora Gold, 128 GB)","? 12,999",4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
"realme C33 2023 (Night Sea, 64 GB)","? 9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 0.3MP | 5MP Front Camera5000 mAh Lithium Ion BatteryUnisoc T612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/n/j/-original-imaghuf9vphhbnkc.jpeg?q=70
"realme C33 2023 (Aqua Blue, 64 GB)","? 9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 0.3MP | 5MP Front Camera5000 mAh Lithium Ion BatteryUnisoc T612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/z/o/-original-imaghuf9guqmb65z.jpeg?q=70
"Infinix HOT 30i (Mirror Black, 64 GB)","? 8,199",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 5MP Front Camera5000 mAh BatteryG37 Processor1 Year on Handset and 6 Months on Accessories,4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/4/q/v/-original-imagz3curry7jhsy.jpeg?q=70
"realme C11 2021 (Cool Blue, 32 GB)","? 5,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryOcta-core Processor1 Year Warranty for Mobile and 6 Months for Accessories,4.4,https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/o/4/x/c11-2021-rmx3231-realme-original-imag4j4yrdt7d9cj.jpeg?q=70
"realme C11 2021 (Cool Blue, 64 GB)","? 7,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryOcta-core Processor1 Year Warranty for Mobile and 6 Months for Accessories,4.3,https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/o/4/x/c11-2021-rmx3231-realme-original-imag4j4yrdt7d9cj.jpeg?q=70
"POCO C50 (Country Green, 32 GB)","? 6,499","2 GB RAM | 32 GB ROM | Expandable Upto 512 GB16.56 cm (6.52 inch) HD+ Display8MP Dual Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryMediatek Helio A22 Processor, Upto 2.0 GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
"Infinix HOT 30i (Glacier Blue, 64 GB)","? 8,199",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 5MP Front Camera5000 mAh BatteryG37 Processor1 Year on Handset and 6 Months on Accessories,4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/w/v/b/-original-imagz3cuzzsyh8ud.jpeg?q=70
"POCO C50 (Royal Blue, 32 GB)","? 7,299","3 GB RAM | 32 GB ROM | Expandable Upto 512 GB16.56 cm (6.52 inch) HD+ Display8MP Dual Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryMediatek Helio A22 Processor, Upto 2.0 GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.1,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
"POCO M4 5G (Power Black, 64 GB)","? 12,999",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh Lithium Ion Polymer BatteryMediatek Dimensity 700 Processor1 Year Warranty for Handset and 6 Months for Accessories,4.2,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/i/1/y/-original-imagdu8gtefvchbn.jpeg?q=70
"Infinix SMART 7 (Azure Blue, 64 GB)","? 7,299",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 5MP Front Camera6000 mAh BatteryUnisoc Spreadtrum SC9863A1 Processor1 Year on Handset and 6 Months on Accessories,4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70
"Infinix SMART 7 (Emerald Green, 64 GB)","? 7,299",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 5MP Front Camera6000 mAh BatteryUnisoc Spreadtrum SC9863A1 Processor1 Year on Handset and 6 Months on Accessories,4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/2/n/m/-original-imagna3rjqn8vqxb.jpeg?q=70
"POCO C50 (Country Green, 32 GB)","? 7,299","3 GB RAM | 32 GB ROM | Expandable Upto 512 GB16.56 cm (6.52 inch) HD+ Display8MP Dual Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryMediatek Helio A22 Processor, Upto 2.0 GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.1,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
